mindanao (GWH),2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,AAGR (%)
coal,1563,1726,1629,1686,1635,1258,2038,4890,6271,7785,9420,20
oil,1652,2087,1424,1720,2094,2599,3369,2462,867,633,554,-10
natural gas,0,0,0,0,0,0,0,0,0,0,0,0
renewable energy,5020,4590,5650,5721,5618,5624,4723,3994,4666,4352,3831,-3
geothermal,823,834,841,731,743,864,842,869,797,826,766,-1
hydro ,4196,3754,4808,4913,4827,4745,3858,3036,3791,3366,2885,-4
biomass,0,0,0,75.14,46.6,13.9,21.4,11.05,0,71.59,92.65,3
solar,1.25,1.25,1.21,1.32,1.41,1.48,1.55,77.41,78.21,87.74,87.41,53
wind,0,0,0,0,0,0,0,0,0,0,0,0
total,8235,8403,8703,9127,9347,9481,10130,11345,11804,12770,13805,5
