visayas (GWH),2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,AAGR (%)
coal,822,1529,4032,4701,4690,4449,4968,5270,6624,6785,7962,25
oil,1864,1727,683,734,796,766,672,637,541,353,524,-12
natural gas,0,0,0,0,7.81,4.27,0,0,0,0,0,-45
renewable energy,6038,5820,5740,6047,5606,5794,6530,7047,6889,7129,7573,2
geothermal,5985,5771,5616,5930,5463,5627,3105,5974,5564,5737,6278,0
hydro ,42,36,53,46,37,35,38,64,90,73,57,3
biomass,10.96,12.9,71.64,70.84,105.67,116.52,158.86,276.05,414.48,439.27,355.65,42
solar,0,0,0,0,0,15.04,70.56,524.66,626.96,658.24,665.42,113
wind,0,0,0,0,0,0,156.66,208.51,194.16,221.66,217.6,9
total,8724,9075,10456,11483,11100,11014,12170,12955,14054,14266,16060,6
