transmission lines (circuit-kilometers),2008,2009,2010,2011,2012*,2013*,2014,2015,2016,2017,2018,2019
LUZON,9527,"9,568","9,638",9529,9374,9439,9370,9428,9602,9795,9447,9227
VISAYAS,"4,745","4,600",4680,4918,4971,4840,4821,4813,4476,4973,5379,5299
MINDANAO,"5,506","5,257","5,258","5,257","5,145","5,146","5,272","5,832","6,081","6,081","5,679","5,553"
TOTAL PHILIPPINES,"19,778","19,425","19,576","19,074","19,490","19,425","19,463","20,073","20,159","2,849","20,505","20,079"
,,,,,,,,,,,,
*There was a decrease in total transmission line length in circuit-km due to modification and divestment of various,,,,,,,,,,,,
sub-transmission assets.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
